date,code,location,PS,year,TL_mm,C_mariae_total,notes,long,lat,,,,,,
11.16.16,UW154473,San Juan Is Upright Head,1,2007,181,1,Small bulge on dorsal fin,-122.9941,48.54748,,,,,,
11.16.16,UW154474,San Juan Is Upright Head,1,2007,169,1,Tiny discoloration ventral fin,-122.9941,48.54748,,,,,,
10.25.16,UW 119985,San Juan Is,1,2008,200,0,,-122.9941,48.54748,,,,,,
12.7.16,UW119983,San Juan Is Upright Head,1,2008,176,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 119989,San Juan Is Upright Head,1,2008,213,0,Some discoloration,-122.9941,48.54748,,,,,,
11.1.16,UW 119981,San Juan Is Upright Head,1,2008,175,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 119982,San Juan Is Upright Head,1,2008,191,0,Worm stuck on outside?,-122.9941,48.54748,,,,,,
11.1.16,UW 119986,San Juan Is Upright Head,1,2008,192,0,Weird clump of white in cut,-122.9941,48.54748,,,,,,
11.1.16,UW 119984,San Juan Is Upright Head,1,2008,211,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 119988,San Juan Is Upright Head,1,2008,190,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 119957,San Juan Is Upright Head,1,2008,200,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 119958,San Juan Is Upright Head,1,2008,209,1,Possible worm lump,-122.9941,48.54748,,,,,,
11.2.16,UW 119987,San Juan Is Upright Head,1,2008,217,1,Small specks on ventral fins,-122.9941,48.54748,,,,,,
12.7.16,UW152927,San Juan Is,1,2009,134,0,,-122.9941,48.54748,,,,,,
12.7.16,UW152927,San Juan Is,1,2009,98,0,,-122.9941,48.54748,,,,,,
12.7.16,UW152927,San Juan Is,1,2009,166,1,Large discoloration ventral,-122.9941,48.54748,,,,,,
11.30.16,UW153575,Friday Harbor SJI,1,2013,130,1,Dorsal fin,-122.9941,48.54748,,,,,,
11.1.16,UW 153582,Friday Harbor SJI,1,2013,248,2,Lumps. Possible worms,-122.9941,48.54748,,,,,,
11.1.16,UW 153583,Friday Harbor SJI,1,2013,250,3,Fin lumps,-122.9941,48.54748,,,,,,
11.30.16,UW155822,Snohomish Everett,1,2015,126,0,,-122.2333,47.95,,,,,,
11.30.16,UW155836,Snohomish Everett,1,2015,137,0,,-122.25,47.95,,,,,,
11.30.16,UW155836,Snohomish Everett,1,2015,130,0,,-122.25,47.95,,,,,,
11.30.16,UW155836,Snohomish Everett,1,2015,117,0,,-122.25,47.95,,,,,,
